Id,name,provinsi_id,created_at,updated_at
1,Kabupaten Aceh Barat,1,,
2,Kabupaten Aceh Barat Daya,1,,
3,Kabupaten Aceh Besar,1,,
4,Kabupaten Aceh Jaya,1,,
5,Kabupaten Aceh Selatan,1,,
6,Kabupaten Aceh Singkil,1,,
7,Kabupaten Aceh Tamiang,1,,
8,Kabupaten Aceh Tengah,1,,
9,Kabupaten Aceh Tenggara,1,,
10,Kabupaten Aceh Timur,1,,
11,Kabupaten Aceh Utara,1,,
12,Kabupaten Bener Meriah,1,,
13,Kabupaten Bireuen,1,,
14,Kabupaten Gayo Lues,1,,
15,Kabupaten Nagan Raya,1,,
16,Kabupaten Pidie,1,,
17,Kabupaten Pidie Jaya,1,,
18,Kabupaten Simeulue,1,,
19,Kota Banda Aceh,1,,
20,Kota Langsa,1,,
21,Kota Lhokseumawe,1,,
22,Kota Sabang,1,,
23,Kota Subulussalam,1,,
24,Kabupaten Asahan,2,,
25,Kabupaten Batu Bara,2,,
26,Kabupaten Dairi,2,,
27,Kabupaten Deli Serdang,2,,
28,Kabupaten Humbang Hasundutan,2,,
29,Kabupaten Karo,2,,
30,Kabupaten Labuhanbatu,2,,
31,Kabupaten Labuhanbatu Selatan,2,,
32,Kabupaten Labuhanbatu Utara,2,,
33,Kabupaten Langkat,2,,
34,Kabupaten Mandailing Natal,2,,
35,Kabupaten Nias,2,,
36,Kabupaten Nias Barat,2,,
37,Kabupaten Nias Selatan,2,,
38,Kabupaten Nias Utara,2,,
39,Kabupaten Padang Lawas,2,,
40,Kabupaten Padang Lawas Utara,2,,
41,Kabupaten Pakpak Bharat,2,,
42,Kabupaten Samosir,2,,
43,Kabupaten Serdang Bedagai,2,,
44,Kabupaten Simalungun,2,,
45,Kabupaten Tapanuli Selatan,2,,
46,Kabupaten Tapanuli Tengah,2,,
47,Kabupaten Tapanuli Utara,2,,
48,Kabupaten Toba,2,,
49,Kota Binjai,2,,
50,Kota Gunungsitoli,2,,
51,Kota Medan,2,,
52,Kota Padang Sidempuan,2,,
53,Kota Pematangsiantar,2,,
54,Kota Sibolga,2,,
55,Kota Tanjungbalai,2,,
56,Kota Tebing Tinggi,2,,
57,Kabupaten Agam,3,,
58,Kabupaten Dharmasraya,3,,
59,Kabupaten Kepulauan Mentawai,3,,
60,Kabupaten Lima Puluh Kota,3,,
61,Kabupaten Padang Pariaman,3,,
62,Kabupaten Pasaman,3,,
63,Kabupaten Pasaman Barat,3,,
64,Kabupaten Pesisir Selatan,3,,
65,Kabupaten Sijunjung,3,,
66,Kabupaten Solok,3,,
67,Kabupaten Solok Selatan,3,,
68,Kabupaten Tanah Datar,3,,
69,Kota Bukittinggi,3,,
70,Kota Padang,3,,
71,Kota Padang Panjang,3,,
72,Kota Pariaman,3,,
73,Kota Payakumbuh,3,,
74,Kota Sawahlunto,3,,
75,Kota Solok,3,,
76,Kabupaten Bengkalis,4,,
77,Kabupaten Indragiri Hilir,4,,
78,Kabupaten Indragiri Hulu,4,,
79,Kabupaten Kampar,4,,
80,Kabupaten Kepulauan Meranti,4,,
81,Kabupaten Kuantan Singingi,4,,
82,Kabupaten Pelalawan,4,,
83,Kabupaten Rokan Hilir,4,,
84,Kabupaten Rokan Hulu,4,,
85,Kabupaten Siak,4,,
86,Kota Dumai,4,,
87,Kota Pekanbaru,4,,
88,Kabupaten Bintan,5,,
89,Kabupaten Karimun,5,,
90,Kabupaten Kepulauan Anambas,5,,
91,Kabupaten Lingga,5,,
92,Kabupaten Natuna,5,,
93,Kota Batam,5,,
94,Kota Tanjungpinang,5,,
95,Kabupaten Batanghari,6,,
96,Kabupaten Bungo,6,,
97,Kabupaten Kerinci,6,,
98,Kabupaten Merangin,6,,
99,Kabupaten Muaro Jambi,6,,
100,Kabupaten Sarolangun,6,,
101,Kabupaten Tanjung Jabung Barat,6,,
102,Kabupaten Tanjung Jabung Timur,6,,
103,Kabupaten Tebo,6,,
104,Kota Jambi,6,,
105,Kota Sungai Penuh,6,,
106,Kabupaten Bengkulu Selatan,7,,
107,Kabupaten Bengkulu Tengah,7,,
108,Kabupaten Bengkulu Utara,7,,
109,Kabupaten Kaur,7,,
110,Kabupaten Kepahiang,7,,
111,Kabupaten Lebong,7,,
112,Kabupaten Mukomuko,7,,
113,Kabupaten Rejang Lebong,7,,
114,Kabupaten Seluma,7,,
115,Kota Bengkulu,7,,
116,Kabupaten Banyuasin,8,,
117,Kabupaten Empat Lawang,8,,
118,Kabupaten Lahat,8,,
119,Kabupaten Muara Enim,8,,
120,Kabupaten Musi Banyuasin,8,,
121,Kabupaten Musi Rawas,8,,
